"(2, 1)","{'down': 16.440237771482707, 'right': 21.822872870291683, 'up': 13.692452843029397, 'left': 17.236754893469328}"
"(8, 7)","{'down': 0.8932156704232004, 'right': 2.2399201993027438, 'up': 3.3559948450633073, 'left': 0.6111642299565019}"
"(5, 4)","{'down': 0.6652728297800097, 'right': 0.7118676282551912, 'up': 0.6825728794228787, 'left': 0.6823509549582729}"
"(4, 2)","{'down': 4.686638738952167, 'right': 5.639627168985272, 'up': 7.091099339521168, 'left': 8.86703180159775}"
"(1, 0)","{'down': 10.929483723135077, 'right': 13.766869435675577, 'up': 10.930127721939892, 'left': 8.733692721989577}"
"(0, 8)","{'down': 0.020664962864244338, 'right': 0.15091222493274936, 'up': 0.029099868807737045, 'left': 0.02040633426162008}"
"(8, 2)","{'down': 8.972, 'right': 11.339999999998625, 'up': 14.299999999999997, 'left': 8.983760737425325}"
"(6, 5)","{'down': 0.5256541342683404, 'right': 0.624714912284663, 'up': 0.6455518238281146, 'left': 0.7009093769238643}"
"(5, 3)","{'down': 1.4542787334286462, 'right': 5.045862012713187, 'up': 7.259811631475765, 'left': 4.636196634951719}"
"(2, 7)","{'down': 0.2741427897567307, 'right': 0.3185815524242656, 'up': 0.769999274909152, 'left': 0.2794945271487341}"
"(8, 3)","{'down': 7.077355417105051, 'right': 8.971999999999639, 'up': 11.339999999999998, 'left': 8.691142712983348}"
"(7, 0)","{'down': 11.339997497729017, 'right': 17.99999962714178, 'up': 14.294550231279825, 'left': 11.147230273685954}"
"(6, 8)","{'down': 0.36407545364302163, 'right': 0.3290657175399915, 'up': 0.45511457020715795, 'left': 0.7939204058133909}"
"(5, 2)","{'down': 25.100867418323325, 'right': 34.352576458672296, 'up': 33.39462427095155, 'left': 24.890583142574158}"
"(6, 1)","{'down': 34.381975023857194, 'right': 43.099999999999895, 'up': 54.0, 'left': 34.38}"
"(5, 7)","{'down': 0.6797052500739482, 'right': 0.42843382366144417, 'up': 0.5977268960366402, 'left': 0.6540910685247703}"
"(2, 6)","{'down': 0.2802602416129946, 'right': 0.22348729175107895, 'up': 0.263401903191136, 'left': 0.28167343046006}"
"(0, 2)","{'down': 4.210880770488742, 'right': 4.264100731931585, 'up': 6.784844243849358, 'left': 5.374857941722361}"
"(7, 4)","{'down': 3.9568739333490095, 'right': 5.104401516626537, 'up': 7.071807121652256, 'left': 2.638559170336231}"
"(2, 0)","{'down': 17.354760878882903, 'right': 14.097201497429253, 'up': 13.787558602237945, 'left': 10.940163766554}"
"(1, 8)","{'down': 0.15067237997033628, 'right': 0.2199961352181099, 'up': 0.3087241748944299, 'left': 0.01905296627165559}"
"(8, 8)","{'down': 0.4389773804257096, 'right': 0.3749547580707139, 'up': 2.1470256777112393, 'left': 0.318667693583344}"
"(4, 3)","{'down': 0.942124946318658, 'right': 0.5732573849295274, 'up': 0.6375953132651031, 'left': 0.5641569177079538}"
"(1, 7)","{'down': 0.13174695314531554, 'right': 0.5011228677114493, 'up': 0.5097119001137393, 'left': 0.15060136148913514}"
"(0, 5)","{'down': 1.9894419093323812, 'right': 2.3132395226351337, 'up': 3.2452151227003663, 'left': 0.7949740012362397}"
"(7, 8)","{'down': 0.4108292663780876, 'right': 0.40709971549244106, 'up': 0.41261042942361204, 'left': 0.42279639428022053}"
"(2, 4)","{'down': 0.1550148745097734, 'right': 0.6806368462657814, 'up': 3.758605080191218, 'left': 3.0649315993289994}"
"(8, 4)","{'down': 5.53072951595427, 'right': 7.0764361228647115, 'up': 8.971998540955221, 'left': 6.779062357704273}"
